;Bundesland;Bestaetigte Faelle;Davon elektronisch uebermittelt;Schwerpunkt Gebiete
0;Baden-Württemberg;454 (1);331 (1);
1;Bayern;500 (1);317;
2;Berlin;137;137;
3;Brandenburg;30;23;
4;Bremen;38;35;
5;Hamburg;88;60;
6;Hessen;99;59;
7;Mecklenburg-Vorpommern;23;16;
8;Niedersachsen;129;81;
9;Nordrhein-Westfalen;688 (3);688 (2);Landkreis Heinsberg
10;Rheinland-Pfalz;52;52;
11;Saarland;14;8;
12;Sachsen;45;30;
13;Sachsen-Anhalt;27;14;
14;Schleswig-Holstein;31;29;
15;Thüringen;14;12;
16;<strong>Gesamt</strong>;<strong>2.369 (5)</strong>;<strong>1.892 (3)</strong>;
